NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
KCMF1	1	KCMF1	
COL27A1	1	COL27A1	
FKBPL	1	FKBPL	
DIO2	1	DIO2	
DIO3	1	DIO3	
FAM91A1	1	FAM91A1	
LEMD3	1	LEMD3	
LEMD2	1	LEMD2	
TOM1L1	1	TOM1L1	
TOM1L2	1	TOM1L2	
MTNR1A	1	MTNR1A	
OBSCN	1	OBSCN	
TBCAP3	1	TBCAP3	
FKBP8	1	FKBP8	
FKBP7	1	FKBP7	
FKBP9	1	FKBP9	
FKBP4	1	FKBP4	
FKBP3	1	FKBP3	
FKBP6	1	FKBP6	
FKBP5	1	FKBP5	
FKBP2	1	FKBP2	
CNP	1	CNP	
GLUD1P2	1	GLUD1P2	
H2BC19P	1	HIST2H2BD	
CD300LG	1	CD300LG	
PLTP	1	PLTP	
MCL1	1	MCL1	
SRSF10P1	1	SRSF10P1	
TCEANC	1	TCEANC	
BCL9	1	BCL9	
UBOX5	1	UBOX5	
BCL6	1	BCL6	
CPD	1	CPD	
BCL3	1	BCL3	
BCL2	1	BCL2	
GLUD1P3	1	GLUD1P3	
CPE	1	CPE	
PGPEP1L	1	PGPEP1L	
OSCP1	1	OSCP1	
SLC48A1	1	SLC48A1	
CPM	1	CPM	
CPO	1	CPO	
MCM7	1	MCM7	
COL14A1	1	COL14A1	
CPQ	1	CPQ	
MCM8	1	MCM8	
MCM9	1	MCM9	
ZC3H3	1	ZC3H3	
ZC3H8	1	ZC3H8	
ZC3H6	1	ZC3H6	
CPZ	1	CPZ	
H2BC16P	1	HIST1H2BPS2	
VPS72	1	VPS72	
CEP170B	1	CEP170B	
EVI5L	1	EVI5L	
OIT3	1	OIT3	
DPRXP4	1	DPRXP4	
GGPS1	1	GGPS1	
DIS3	1	DIS3	
SGIP1	1	SGIP1	
APOA2	1	APOA2	
APOA1	1	APOA1	
OR52K3P	1	OR52K3P	
SAPCD2	1	SAPCD2	
SAPCD1	1	SAPCD1	
MCM3	1	MCM3	
ST20-MTHFS	1	ST20-MTHFS	
MCM4	1	MCM4	
XCL1	1	XCL1	
MCM5	1	MCM5	
MCM6	1	MCM6	
CRK	1	CRK	
MCM2	1	MCM2	
HDAC4	1	HDAC4	
CEBPA	1	CEBPA	
HDAC5	1	HDAC5	
CEBPB	1	CEBPB	
HDAC2	1	HDAC2	
RPL36AP33	1	RPL36AP33	
HDAC3	1	HDAC3	
CEBPD	1	CEBPD	
HDAC1	1	HDAC1	
VPS4B	1	VPS4B	
CEBPG	1	CEBPG	
VPS4A	1	VPS4A	
TULP4	1	TULP4	
TULP3	1	TULP3	
TULP2	1	TULP2	
TULP1	1	TULP1	
HDAC8	1	HDAC8	
HDAC9	1	HDAC9	
HDAC6	1	HDAC6	
HDAC7	1	HDAC7	
HMGN2P28	1	HMGN2P28	
STOX2	1	STOX2	
NFS1	1	NFS1	
CYP2F2P	1	CYP2F2P	
HECTD1	1	HECTD1	
HECTD2	1	HECTD2	
VPS51	1	VPS51	
HECTD3	1	HECTD3	
VPS50	1	VPS50	
HECTD4	1	HECTD4	
SVBP	1	SVBP	
VPS53	1	VPS53	
VPS52	1	VPS52	
IL21R	1	IL21R	
XIRP1	1	XIRP1	
VPS54	1	VPS54	
XIRP2	1	XIRP2	
CSK	1	CSK	
BCO2	1	BCO2	
ANAPC10P1	1	ANAPC10P1	
BCO1	1	BCO1	
RPL36AP43	1	RPL36AP43	
STOX1	1	STOX1	
SLC35A2	1	SLC35A2	
MGME1	1	MGME1	
SLC35A1	1	SLC35A1	
SLC35A4	1	SLC35A4	
SLC35A3	1	SLC35A3	
APOBR	1	APOBR	
CPPED1	1	CPPED1	
KBTBD11	1	KBTBD11	
ASXL1	1	ASXL1	
MAB21L3	1	MAB21L3	
EVI2A	1	EVI2A	
CTH	1	CTH	
MAB21L1	1	MAB21L1	
APOC1	1	APOC1	
ASXL2	1	ASXL2	
VPS41	1	VPS41	
CEBPZ	1	CEBPZ	
BCOR	1	BCOR	
VPS45	1	VPS45	
EVI2B	1	EVI2B	
SLC35B3	1	SLC35B3	
SLC35B2	1	SLC35B2	
IL1RN	1	IL1RN	
SLC35B4	1	SLC35B4	
DCAF4L1	1	DCAF4L1	
MISP3	1	MISP3	
SLC35B1	1	SLC35B1	
NUDT4P2	1	NUDT4P2	
NFU1	1	NFU1	
NIPAL4	1	NIPAL4	
RPS6KA4	1	RPS6KA4	
RPS6KA3	1	RPS6KA3	
RPS6KA6	1	RPS6KA6	
RPS6KA5	1	RPS6KA5	
NIPAL1	1	NIPAL1	
NIPAL2	1	NIPAL2	
RPS6KA2	1	RPS6KA2	
NIPAL3	1	NIPAL3	
RPS6KA1	1	RPS6KA1	
ARFIP2	1	ARFIP2	
ARFIP1	1	ARFIP1	
H4C2	1	HIST1H4B	
H4C1	1	HIST1H4A	
H4C4	1	HIST1H4D	
H4C3	1	HIST1H4C	
SLC35A5	1	SLC35A5	
H4C6	1	HIST1H4F	
H4C5	1	HIST1H4E	
TANGO6	1	TANGO6	
IL1R1	1	IL1R1	
IL1R2	1	IL1R2	
SLC35C2	1	SLC35C2	
TANGO2	1	TANGO2	
SLC35C1	1	SLC35C1	
TWSG1	1	TWSG1	
IL23A	1	IL23A	
GSAP	1	GSAP	
OBSL1	1	OBSL1	
CFTR	1	CFTR	
SLC22A4	1	SLC22A4	
SLC22A3	1	SLC22A3	
SLC22A5	1	SLC22A5	
SLC35D1	1	SLC35D1	
SH2D2A	1	SH2D2A	
SLC22A1	1	SLC22A1	
SLC35D2	1	SLC35D2	
CFAP251	1	WDR66	
GSE1	1	GSE1	
FAM43A	1	FAM43A	
BTBD10P2	1	BTBD10P2	
FAM43B	1	FAM43B	
ARGLU1	1	ARGLU1	
H4C8	1	HIST1H4H	
H4C9	1	HIST1H4I	
SLC35E1	1	SLC35E1	
SLC35E4	1	SLC35E4	
SLC35E3	1	SLC35E3	
MPHOSPH10	1	MPHOSPH10	
